spotify_id;nombre;es_explicito;duracion_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;time_signature;album_id
6j5LtifAnuTjTYvml61yFZ;Un MillÃ³n de Primaveras;False;173080;0.73;0.341;3;-8.521;1;0.0578;0.654;0.000181;0.0926;0.822;100.558;3;68
6VsqdsaY4oV06NODea0L0J;POR EL CONTRARIO (with Angela Aguilar & Leonardo Aguilar);False;185207;0.475;0.666;11;-4.962;0;0.0312;0.644;1.2e-05;0.0988;0.765;159.744;4;69
6dOtVTDdiauQNBQEDOtlAB;BIRDS OF A FEATHER;False;210373;0.747;0.507;2;-10.171;1;0.0358;0.2;0.0608;0.117;0.438;104.978;4;70
2J9B63FawlTaPdg4eH5X03;Loco;False;204000;0.82;0.565;6;-5.965;1;0.17;0.158;2.45e-05;0.0469;0.773;105.11;4;71
03IpZ9yqJlo3EIgDQUgBSF;Nueva Era;True;217547;0.556;0.724;0;-3.165;1;0.119;0.267;0.0;0.217;0.681;101.097;3;72
26y2gBrbiFJIOUjIlSQfdH;Vida De Rock;True;181503;0.621;0.59;0;-7.012;0;0.0611;0.356;0.0;0.121;0.754;135.008;4;72
63rRgkllF0FDeZ9fpOkFKl;Imperio;True;168711;0.544;0.616;8;-5.435;1;0.197;0.285;0.0;0.106;0.398;132.942;3;72
5lXKHJ3kYg9aM0TdBgaZBe;Ameri;False;199310;0.623;0.684;4;-4.666;0;0.0572;0.0947;0.0;0.339;0.321;153.788;4;72
64sXViF6VlsihR0eJt0vUq;Cine ðŸš¬;True;142957;0.655;0.719;2;-3.705;1;0.253;0.12;0.0;0.099;0.479;179.653;4;72
4JtKlgBLKHtRTqixKHrrw8;ÃNGEL;False;184095;0.826;0.596;11;-5.262;1;0.0357;0.292;0.0;0.166;0.869;127.922;4;73
0bYg9bo50gSsH3LtXe2SQn;All I Want for Christmas Is You;False;241106;0.336;0.627;7;-7.463;1;0.0384;0.164;0.0;0.0708;0.35;150.273;4;74
3tt9i3Hhzq84dPS8H7iSiJ;La Bachata;False;162637;0.835;0.679;7;-5.329;0;0.0364;0.583;1.98e-06;0.218;0.85;124.98;4;75
5MKbWaXeSQSmzmo7gPQha1;Amor de Vago;False;188423;0.65;0.507;2;-7.27;1;0.111;0.706;2.47e-06;0.0725;0.603;179.984;4;76
5AkLEnorFvb7WIJOGqKYVT;Si Un DÃ­a EstÃ¡s Sola | CROSSOVER #7;False;164021;0.63;0.507;1;-4.865;1;0.0647;0.0386;0.0;0.0666;0.744;183.896;4;77
4dLLdfiniBhDP9dlJQIOi4;Perdonarte, Â¿Para QuÃ©?;False;193933;0.672;0.702;11;-4.662;0;0.0314;0.168;0.0;0.0445;0.615;90.039;4;78
7yrTny7FLWLbfIzsxoicWj;noviogangsta <3;True;157209;0.816;0.872;11;-4.27;0;0.0442;0.25;3.7e-06;0.254;0.94;128.924;4;79
0EVxchTHYIgx618OrpcrdQ;AGORA;False;153564;0.686;0.871;4;-2.217;0;0.0926;0.254;0.000206;0.34;0.626;169.857;4;80
0SoBfYjQHvL6cuWHtPUYnq;Hoy;False;198495;0.451;0.711;11;-4.612;1;0.0426;0.24;0.0;0.154;0.661;176.161;4;81
1TyBUtMxdmRfXhW3MmbxtQ;QUE ME FALTE TODO;False;165918;0.731;0.855;3;-5.115;0;0.0516;0.0943;0.0;0.688;0.966;148.052;4;82
6vRQqxOhUFd78p5tL8jXr7;La Morocha;False;134144;0.756;0.769;7;-5.752;1;0.0342;0.0973;0.0;0.279;0.973;149.109;4;82
7JKptWv4YXmievid0HajID;HOLA PERDIDA;False;166536;0.482;0.794;2;-5.86;0;0.0835;0.187;0.0;0.744;0.565;154.921;4;82
0u6JsFiEEXb6kaF0oqyeFi;Ya No Vuelvas (VersiÃ³n Cuarteto);False;204000;0.736;0.901;1;-4.575;1;0.0838;0.221;0.0;0.375;0.567;149.946;4;82
