"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"0xGQTpN4ESETtl1Sp6rzd2","São Paulo (feat. Anitta)","The Weeknd, Anitta","31","-11","-21","","2024-11-11","84","True","301623","São Paulo","2024-10-31","0.574","0.659","5","-7.377","0","0.0768","0.0412","0.0002","0.0921","0.506","127.347","4"
"0Sr7ssScx54yxdM2ols7nW","Q U E V A S H A C E R H O Y ?","Omar Courtz, De La Rose","32","0","12","","2024-11-11","89","True","224022","PRIMERA MUSA","2024-09-20","0.56","0.681","6","-6.304","0","0.244","0.103","0.0","0.106","0.388","155.079","4"
"0qeIFEGRQqHoaJtLCl0U73","DEGENERE 👑 (feat. benny blanco)","Myke Towers, benny blanco","33","0","12","","2024-11-11","81","True","130880","LA PANTERA NEGRA (DELUXE)","2024-10-17","0.744","0.709","6","-5.778","0","0.284","0.0501","0.0","0.0847","0.712","194.055","4"
"7CyPwkp0oE8Ro9Dd5CUDjW","One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp","34","0","5","","2024-11-11","89","False","244684","The Idol Episode 4 (Music from the HBO Original Series)","2023-06-23","0.264","0.64","8","-6.221","1","0.0442","0.0393","2.31e-06","0.151","0.19","84.828","4"
"7BqBn9nzAq8spo5e7cZ0dJ","Just the Way You Are","Bruno Mars","35","15","7","","2024-11-11","84","False","220734","Doo-Wops & Hooligans","2010-05-11","0.635","0.841","5","-5.379","1","0.0422","0.0134","0.0","0.0622","0.424","109.021","4"
"19XpFsce28aByvCC4g89tJ","Too Sweet","Hozier","36","0","7","","2024-11-11","83","False","251424","Unreal Unearth: Unaired","2024-08-19","0.74","0.643","10","-5.446","1","0.0413","0.041","0.00229","0.0407","0.96","117.025","4"
"42VsgItocQwOQC3XWZ8JNA","FE!N (feat. Playboi Carti)","Travis Scott, Playboi Carti","37","3","0","","2024-11-11","89","True","191700","UTOPIA","2023-07-28","0.569","0.882","3","-2.777","0","0.06","0.0316","0.0","0.142","0.201","148.038","4"
"2CspwnypzT7rcWI9RfsoSb","Mantra","JENNIE","38","0","-10","","2024-11-11","89","True","136627","Mantra","2024-10-10","0.894","0.725","10","-4.984","0","0.0432","0.00434","1.15e-05","0.0815","0.838","116.988","4"
"5AH31dDNgxCMGDdxubNNn4","NEL","Fuerza Regida","39","11","11","","2024-11-11","88","True","149073","PERO NO TE ENAMORES","2024-07-25","0.69","0.482","7","-6.335","0","0.2","0.523","0.0004","0.0728","0.356","100.029","4"
"4OLT65TRsOx3Iv1TlCcQVb","Presidente","Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega","40","4","7","","2024-11-11","83","True","181064","Presidente","2024-10-21","0.732","0.827","11","-4.152","1","0.0585","0.123","0.0","0.117","0.584","105.145","1"
"2PnlsTsOTLE5jnBnNe2K0A","The Emptiness Machine","Linkin Park","41","-12","8","","2024-11-11","90","True","190427","The Emptiness Machine","2024-09-05","0.466","0.872","7","-3.344","1","0.0336","0.0156","0.0","0.121","0.806","184.115","4"
"3hRV0jL3vUpRrcy398teAU","The Night We Met","Lord Huron","42","-5","-11","","2024-11-11","88","False","208211","Strange Trails","2015-04-06","0.448","0.369","9","-9.514","1","0.0452","0.968","0.272","0.638","0.0998","174.097","3"
"51ZQ1vr10ffzbwIjDCwqm4","we can't be friends (wait for your love)","Ariana Grande","43","6","7","","2024-11-11","86","False","228639","eternal sunshine","2024-03-08","0.645","0.646","5","-8.334","1","0.0427","0.0615","3.04e-05","0.074","0.295","115.842","4"
